lat,lon,distance,pci,mean_rsrp,std_rsrp
51.38331,12.184321,2788.3051314793674,218,-91.66318,5.141863
51.38331,12.185039208129556,2754.593203738764,218,-91.79665,5.2229586
51.38331,12.185757416259111,2721.381988111157,218,-91.94166,5.305081
51.38331,12.186475624388668,2688.690039345036,218,-92.10612,5.3887
51.38331,12.187193832518222,2656.536528162217,218,-92.28864,5.4816403
51.38331,12.187912040647776,2624.941240978884,218,-92.47498,5.585925
51.38331,12.188630248777333,2593.9245762147534,218,-92.67129,5.695905
51.38331,12.189348456906888,2563.507536748805,218,-92.88088,5.8120475
51.38331,12.190066665036444,2533.71171806044,218,-93.10391,5.941421
51.38331,12.190784873166,2504.559291555403,218,-93.3386,6.0757103
51.38331,12.191503081295554,2476.072982570811,218,-93.60138,6.199905
51.38331,12.19222128942511,2448.2760425564934,218,-93.87574,6.3232627
51.38331,12.192939497554663,2421.192214911094,218,-94.17405,6.4407325
51.38331,12.19365770568422,2394.8456939852986,218,-94.49401,6.5469246
51.38331,12.194375913813776,2369.2610767762985,218,-94.82653,6.659917
51.38331,12.195094121943333,2344.463306886297,218,-95.18343,6.7735996
51.38331,12.195812330072886,2320.477610373832,218,-95.559525,6.8901877
51.38331,12.196530538202442,2297.3294231916725,218,-95.95894,6.99349
51.38331,12.197248746331995,2275.044310030597,218,-96.387344,7.0599723
51.38331,12.197966954461553,2253.647874461958,218,-96.86053,7.092252
51.38331,12.198685162591108,2233.1656604631203,218,-97.355515,7.1215887
51.38331,12.199403370720663,2213.62304551184,218,-97.88991,7.112547
51.38331,12.20012157885022,2195.045125668877,218,-98.43938,7.101032
51.38331,12.200839786979774,2177.456593227373,218,-99.0025,7.093205
51.38331,12.20155799510933,2160.881607729504,218,-99.59221,7.0709147
51.38331,12.202276203238885,2145.3436613839526,218,-100.21599,7.0496154
51.38331,12.20299441136844,2130.865440104868,218,-100.89297,7.0251093
51.38331,12.203712619497995,2117.468681661912,218,-101.615166,7.012568
51.38331,12.20443082762755,2105.1740325694286,218,-102.38502,7.0098457
51.38331,12.205149035757106,2094.000905582698,218,-103.18866,6.9865007
51.38331,12.205867243886662,2083.9673398034074,218,-104.02073,6.9669685
51.38331,12.206585452016215,2075.0898654659472,218,-104.86709,6.958034
51.38331,12.207303660145772,2067.3833756138865,218,-105.75442,6.9086647
51.38331,12.208021868275328,2060.8610068086264,218,-106.6868,6.8836365
51.38331,12.208740076404885,2055.534031004582,218,-107.70625,6.8814898
51.38331,12.209458284534438,2051.4117605872257,218,-108.750824,6.9308195
51.38331,12.210176492663994,2048.501468380566,218,-109.80535,7.050184
51.38331,12.210894700793547,2046.808324209888,218,-110.93406,7.1929483
51.38331,12.211612908923104,2046.3353492955332,218,-112.15175,7.345138
51.38331,12.21233111705266,2047.083389391075,218,-113.48249,7.4914365
51.38331,12.213049325182215,2049.0511072425606,218,-114.89282,7.624179
51.38331,12.21376753331177,2052.234994507818,218,-116.398964,7.7221675
51.38331,12.214485741441326,2056.62940290527,218,-117.954956,7.8410926
51.38331,12.21520394957088,2062.2265939327986,218,-119.54124,7.973089
51.38331,12.215922157700437,2069.016806159528,218,-121.19936,8.05903
51.38331,12.216640365829992,2076.9883387327345,218,-122.92572,8.142554
51.38331,12.217358573959547,2086.127649475105,218,-124.71254,8.21297
51.38331,12.218076782089105,2096.4194657046587,218,-126.5637,8.278587
51.38331,12.218794990218658,2107.8469057466573,218,-128.48431,8.381152
51.38331,12.219513198348212,2120.3916090070866,218,-130.49219,8.501708
51.38331,12.220231406477769,2134.033872417889,218,-132.54245,8.638055
51.38331,12.220949614607324,2148.752791105914,218,-134.64188,8.822886
51.38331,12.22166782273688,2164.5264012092,218,-136.77167,9.048615
51.38331,12.222386030866437,2181.331822844269,218,-138.95232,9.333272
51.38331,12.22310423899599,2199.1454014546684,218,-141.20123,9.662072
51.38331,12.223822447125546,2217.942845902888,218,-143.5402,10.04084
51.38331,12.2245406552551,2237.699361888152,218,-145.9704,10.493911
51.38331,12.225258863384656,2258.3897795203247,218,-148.60347,11.104384
51.38331,12.225977071514212,2279.9886740560387,218,-151.39938,11.816411
51.38331,12.226695279643767,2302.4704790579917,218,-154.39633,12.571844
51.38331,12.227413487773322,2325.80959142372,218,-157.60556,13.413255
51.38331,12.228131695902878,2349.980467938345,218,-161.02722,14.311945
51.38331,12.228849904032431,2374.9577131632223,218,-164.53076,15.251724
