lat,lon,distance,pci,mean_rsrp
51.38331,12.184321,2788.3051314793674,216,-102.87037
51.38331,12.185039208129556,2754.5932037387633,216,-98.89937
51.38331,12.185757416259111,2721.381988111157,216,-92.88858
51.38331,12.186475624388667,2688.690039345036,216,-87.93664
51.38331,12.187193832518222,2656.536528162217,216,-84.42327
51.38331,12.187912040647777,2624.941240978884,216,-81.656296
51.38331,12.188630248777333,2593.9245762147534,216,-79.86242
51.38331,12.189348456906888,2563.507536748805,216,-80.17173
51.38331,12.190066665036444,2533.71171806044,216,-78.06448
51.38331,12.190784873165999,2504.559291555403,216,-74.55662
51.38331,12.191503081295554,2476.072982570811,216,-77.08071
51.38331,12.19222128942511,2448.2760425564934,216,-83.09509
51.38331,12.192939497554665,2421.192214911094,216,-87.24572
51.38331,12.19365770568422,2394.8456939852986,216,-91.78948
51.38331,12.194375913813776,2369.2610767762985,216,-96.72135
51.38331,12.195094121943331,2344.463306886297,216,-103.121124
51.38331,12.195812330072886,2320.4776103738322,216,-109.27608
51.38331,12.196530538202442,2297.3294231916725,216,-118.58303
51.38331,12.197248746331997,2275.0443100305974,216,-130.30461
51.38331,12.197966954461553,2253.647874461958,216,-138.81369
51.38331,12.198685162591108,2233.1656604631203,216,-147.94098
51.38331,12.199403370720663,2213.6230455118393,216,-156.5373
51.38331,12.200121578850219,2195.0451256688775,216,-165.05582
51.38331,12.200839786979774,2177.456593227373,216,-173.25116
51.38331,12.20155799510933,2160.881607729504,216,-181.55939
51.38331,12.202276203238885,2145.3436613839526,216,-190.29721
51.38331,12.20299441136844,2130.865440104868,216,-202.32416
51.38331,12.203712619497995,2117.468681661912,216,-207.62973
51.38331,12.20443082762755,2105.1740325694286,216,-212.6782
51.38331,12.205149035757106,2094.000905582698,216,-218.60297
51.38331,12.205867243886662,2083.9673398034074,216,-224.5228
51.38331,12.206585452016217,2075.0898654659472,216,-231.47308
51.38331,12.207303660145772,2067.3833756138865,216,-238.65413
