lat,lon,distance,rsrp,pci,lat_minmax,lon_minmax,distance_minmax,rsrp_minmax,pci_minmax,lat_meannorm,lon_meannorm,distance_meannorm,rsrp_meannorm
51.403598,12.208621,242.03163504890787,-93.8,217.0,0.48670952883606305,0.19054041338644787,0.04860173684547543,0.4421875,0.0014084507042253522,0.08828766375522466,-0.7103442409581519,-1.1565546136847962,0.2745280202969495
51.403599,12.208637,241.2033576939764,-94.4,217.0,0.4867335188561541,0.19066587209484012,0.04841927321255425,0.4328124999999999,0.0014084507042253522,0.08842530100067628,-0.7096638306452869,-1.1578678328803163,0.21716858697762934
51.403601,12.208658,240.1654136544281,-93.8,217.0,0.4867814988965067,0.19083053664962066,0.04819062149450681,0.4421875,0.0014084507042253522,0.08870057549255744,-0.708770792109567,-1.1595134749209868,0.2745280202969495
51.403602,12.208687,238.62170714239213,-94.9,217.0,0.4868054889165977,0.19105793055859735,0.04785055388711282,0.4249999999999999,0.0014084507042253522,0.08883821273800906,-0.7075375484174145,-1.1619609944768279,0.16936905921152987
51.403603,12.208717,237.0298873291653,-96.0,217.0,0.48682947893668876,0.19129316563685725,0.047499887260350676,0.40781249999999997,0.0014084507042253522,0.08897584998346066,-0.7062617790806608,-1.1644847968264789,0.06421009812611159
51.403605,12.208746,235.5685826895945,-94.5,217.0,0.4868774589770413,0.1915205595458339,0.047177972201640994,0.43124999999999997,0.0014084507042253522,0.08925112447534184,-0.7050285353885083,-1.1668016696611172,0.20760868142441
51.403606,12.20878,233.7738833160988,-93.9,217.0,0.4869014489973028,0.19178715930119883,0.04678261264515947,0.4406249999999999,0.0014084507042253522,0.0893887617217714,-0.7035826634735006,-1.1696471339894974,0.26496811474372883
51.403609,12.20882,231.8016567324385,-94.9,217.0,0.48697341905774644,0.19210080607219346,0.046348145102064364,0.4249999999999999,0.0014084507042253522,0.08980167345910418,-0.701881637691263,-1.1727740645908926,0.16936905921152987
51.403611,12.208863,229.61478898561683,-95.9,217.0,0.4870213990979285,0.19243797635102383,0.04586639363146397,0.4093749999999999,0.0014084507042253522,0.0900769479500074,-0.7000530349752971,-1.1762413049857814,0.07377000367933094
51.403613,12.208903,227.60678766004943,-94.2,217.0,0.48706937913828113,0.19275162312203237,0.04542404516619186,0.4359374999999999,0.0014084507042253522,0.09035222244188858,-0.698352009192984,-1.1794249558119991,0.2362883980840694
51.403616,12.208949,225.36807848676943,-94.9,217.0,0.4871413491987247,0.19311231690869848,0.04493087339664078,0.4249999999999999,0.0014084507042253522,0.09076513417922136,-0.6963958295432899,-1.182974389877816,0.16936905921152987
51.403621,12.208997,223.1928758948508,-95.4,217.0,0.4872612992995209,0.19348869303390318,0.04445169167701754,0.4171874999999999,0.0014084507042253522,0.09145332040843532,-0.6943545986045444,-1.1864231353745331,0.12156953144543041
