lat,lon,distance,pci,mean_rsrp,std_rsrp
51.38331,12.184321,2788.3051314793674,216,-92.141884,6.357471
51.38331,12.185039208129556,2754.5932037387633,216,-92.330345,6.4155216
51.38331,12.185757416259111,2721.381988111157,216,-92.529015,6.477567
51.38331,12.186475624388667,2688.690039345036,216,-92.751755,6.54334
51.38331,12.187193832518222,2656.536528162217,216,-92.988884,6.613608
51.38331,12.187912040647777,2624.941240978884,216,-93.24268,6.6858325
51.38331,12.188630248777333,2593.9245762147534,216,-93.51664,6.769448
51.38331,12.189348456906888,2563.507536748805,216,-93.83151,6.8483014
51.38331,12.190066665036444,2533.71171806044,216,-94.18576,6.9209566
51.38331,12.190784873165999,2504.559291555403,216,-94.57049,6.9827576
51.38331,12.191503081295554,2476.072982570811,216,-94.98479,7.065211
51.38331,12.19222128942511,2448.2760425564934,216,-95.46518,7.1737328
51.38331,12.192939497554665,2421.192214911094,216,-95.98646,7.2882648
51.38331,12.19365770568422,2394.8456939852986,216,-96.56428,7.412652
51.38331,12.194375913813776,2369.2610767762985,216,-97.174194,7.5813575
51.38331,12.195094121943331,2344.463306886297,216,-97.83192,7.774693
51.38331,12.195812330072886,2320.4776103738322,216,-98.52562,7.978487
51.38331,12.196530538202442,2297.3294231916725,216,-99.237366,8.2039995
51.38331,12.197248746331997,2275.0443100305974,216,-99.976845,8.430765
51.38331,12.197966954461553,2253.647874461958,216,-100.78678,8.626871
51.38331,12.198685162591108,2233.1656604631203,216,-101.69351,8.799668
51.38331,12.199403370720663,2213.6230455118393,216,-102.66231,8.950892
51.38331,12.200121578850219,2195.0451256688775,216,-103.72856,9.085417
51.38331,12.200839786979774,2177.456593227373,216,-104.90404,9.190556
51.38331,12.20155799510933,2160.881607729504,216,-106.16752,9.23289
51.38331,12.202276203238885,2145.3436613839526,216,-107.516235,9.2262
51.38331,12.20299441136844,2130.865440104868,216,-108.92056,9.21163
51.38331,12.203712619497995,2117.468681661912,216,-110.40493,9.186766
51.38331,12.20443082762755,2105.1740325694286,216,-111.94283,9.174081
51.38331,12.205149035757106,2094.000905582698,216,-113.5154,9.16217
51.38331,12.205867243886662,2083.9673398034074,216,-115.111275,9.146172
51.38331,12.206585452016217,2075.0898654659472,216,-116.75005,9.093892
51.38331,12.207303660145772,2067.3833756138865,216,-118.4377,9.000647
51.38331,12.208021868275328,2060.8610068086264,216,-120.152954,8.897572
51.38331,12.208740076404883,2055.5340310045826,216,-121.90471,8.788542
51.38331,12.209458284534438,2051.4117605872257,216,-123.67526,8.675977
51.38331,12.210176492663994,2048.501468380566,216,-125.45793,8.557723
51.38331,12.210894700793549,2046.8083242098878,216,-127.256615,8.441955
51.38331,12.211612908923104,2046.3353492955334,216,-129.0648,8.317978
51.38331,12.21233111705266,2047.0833893910747,216,-130.90335,8.17808
51.38331,12.213049325182215,2049.0511072425606,216,-132.74998,8.046632
51.38331,12.21376753331177,2052.234994507818,216,-134.61319,7.928484
51.38331,12.214485741441326,2056.62940290527,216,-136.49643,7.831098
51.38331,12.215203949570881,2062.2265939327986,216,-138.39748,7.7531075
51.38331,12.215922157700437,2069.016806159528,216,-140.3204,7.6872687
51.38331,12.216640365829992,2076.9883387327345,216,-142.2717,7.647639
51.38331,12.217358573959547,2086.1276494751055,216,-144.2377,7.642721
51.38331,12.218076782089103,2096.4194657046587,216,-146.27162,7.6812143
51.38331,12.218794990218658,2107.8469057466573,216,-148.4181,7.759747
51.38331,12.219513198348213,2120.3916090070866,216,-150.61426,7.895393
51.38331,12.220231406477769,2134.033872417889,216,-152.91083,8.072486
51.38331,12.220949614607324,2148.7527911059146,216,-155.3689,8.383945
51.38331,12.22166782273688,2164.5264012092,216,-157.99141,8.797891
51.38331,12.222386030866435,2181.3318228442686,216,-160.80371,9.39586
51.38331,12.22310423899599,2199.1454014546684,216,-163.73868,10.063839
51.38331,12.223822447125546,2217.9428459028877,216,-166.95636,10.767223
51.38331,12.224540655255101,2237.699361888152,216,-170.39839,11.527508
51.38331,12.225258863384656,2258.3897795203247,216,-174.01852,12.309531
51.38331,12.225977071514212,2279.9886740560387,216,-177.87547,13.042721
51.38331,12.226695279643767,2302.4704790579913,216,-181.9595,13.624991
51.38331,12.227413487773322,2325.80959142372,216,-186.1242,14.198308
51.38331,12.228131695902878,2349.980467938345,216,-190.42218,14.68467
51.38331,12.228849904032433,2374.9577131632223,216,-194.84384,15.03623
51.38331,12.229568112161989,2400.716158655156,216,-199.33984,15.322233
51.38331,12.230286320291544,2427.230933596823,216,-203.912,15.553005
51.38331,12.2310045284211,2454.4775271025264,216,-208.51315,15.772467
51.38331,12.231722736550655,2482.431842475791,216,-213.1211,15.998352
51.38331,12.23244094468021,2511.0702438321737,216,-217.68787,16.215733
51.38331,12.233159152809765,2540.36959551154,216,-222.22285,16.459427
51.38331,12.23387736093932,2570.307294771044,216,-226.73727,16.640045
51.38331,12.234595569068876,2600.8612982410227,216,-231.22455,16.789558
51.38331,12.235313777198431,2632.010142686986,216,-235.54881,16.923157
51.38331,12.236031985327987,2663.732960541587,216,-239.14012,17.124443
51.38331,12.236750193457542,2696.0094907649122,216,-241.90439,17.328085
51.38331,12.237468401587098,2728.8200854658758,216,-244.30615,17.557837
51.38331,12.238186609716653,2762.145712792507,216,-246.55827,17.771442
51.38331,12.238904817846208,2795.9679565125757,216,-248.69342,18.022657
51.38331,12.239623025975764,2830.2690127035985,216,-250.75157,18.287643
51.38331,12.240341234105319,2865.031683935515,216,-252.7124,18.539204
51.38331,12.241059442234874,2900.2393713056176,216,-254.59573,18.802893
51.38331,12.24177765036443,2935.8760646538917,216,-256.42624,19.074541
51.38331,12.242495858493985,2971.926331243767,216,-258.20605,19.357328
51.38331,12.24321406662354,3008.3753031911356,216,-259.9486,19.665098
51.38331,12.243932274753096,3045.2086638718406,216,-261.6684,19.983738
51.38331,12.244650482882651,3082.412633526506,216,-263.3797,20.308989
51.38331,12.245368691012207,3119.9739542568227,216,-265.0797,20.654081
51.38331,12.246086899141762,3157.879874575266,216,-266.76126,21.02037
51.38331,12.246805107271317,3196.118133661306,216,-268.42392,21.417965
51.38331,12.247523315400873,3234.67694545251,216,-270.07892,21.841236
51.38331,12.248241523530428,3273.544982673041,216,-271.57666,22.324018
51.38331,12.248959731659983,3312.711360912378,216,-272.31854,22.787079
51.38331,12.249677939789539,3352.1656228221377,216,-270.31946,23.08438
51.38331,12.250396147919094,3391.8977224978203,216,-265.1053,23.408047
51.38331,12.25111435604865,3431.8980101204393,216,-259.206,23.751715
51.38331,12.251832564178205,3472.1572168810535,216,-253.25685,24.119719
51.38331,12.25255077230776,3512.6664402532083,216,-247.32574,24.446886
51.38331,12.253268980437316,3553.4171296175628,216,-241.38034,24.791239
51.38331,12.253987188566871,3594.40107228644,216,-235.511,25.015839
51.38331,12.254705396696426,3635.610379927591,216,-229.8793,24.856762
51.38331,12.255423604825982,3677.037475409411,216,-224.61182,24.262323
51.38331,12.256141812955537,3718.675080083597,216,-219.57382,23.50361
51.38331,12.256860021085092,3760.516201480758,216,-214.88928,22.575409
51.38331,12.257578229214648,3802.554121459018,216,-210.54747,21.611567
51.38331,12.258296437344203,3844.7823847779646,216,-206.62961,20.579752
51.38331,12.259014645473759,3887.194788091979,216,-203.19226,19.494663
51.38331,12.259732853603314,3929.7853693837783,216,-200.06834,18.495173
51.38331,12.26045106173287,3972.548397793282,216,-197.30283,17.60783
51.38331,12.261169269862425,4015.47836387079,216,-194.85652,16.83581
51.38331,12.26188747799198,4058.5699702102743,216,-192.61119,16.256668
51.38331,12.262605686121535,4101.8181224829395,216,-190.45937,15.773221
51.38331,12.26332389425109,4145.217920828621,216,-188.31769,15.369729
51.38331,12.264042102380646,4188.764651633662,216,-186.25073,15.082291
51.38331,12.264760310510201,4232.453779633384,216,-184.30777,14.960477
51.38331,12.265478518639757,4276.280940371703,216,-182.46881,14.924331
51.38331,12.266196726769312,4320.241932984611,216,-180.67845,14.898974
